node,degree_centrality,betweenness_centrality,closeness_centrality
Q8TAS1,0.0004212152058689,9.219195310677028e-07,0.2714645067235864
P37624,0.0031240127768612,6.339176923406978e-06,0.040360206737113
Q5VV41,0.0006084219640329,6.544558039866757e-06,0.2984540377530748
Q9H3S7,0.0003276118267869,3.668675004243717e-07,0.304407605180586
Q9NUG6,0.0008307299893526,2.0685182865033496e-06,0.5005602494211542
Q03214,0.0005382194297214,9.727522195200637e-08,0.6164661793902337
Q9BQQ3,0.0009360337908198,4.674836258531349e-06,0.3134765351050283
P19073,0.0024921899680578,9.828547846230008e-07,1.2124418389488263
O45226,0.0004563164730246,9.751123974747674e-08,0.0211432994492651
Q92185,0.0002223080253197,2.0571402499692627e-06,0.2870455075850568
P0A717,0.0006786244983443,1.4646400552677868e-07,0.0146830314261886
P53687,0.0025155908128283,1.3078281092623492e-06,0.6932606494020367
Q05031,0.0012168439280658,2.2995402163585121e-07,0.7829341001922183
O94262,0.0002457088700902,1.1270322661346386e-08,0.0121329700065625
Q15742,0.0004446160506394,1.770103489991498e-06,0.2975576835022257
P28007,0.0009711350579755,3.1364052088669664e-08,0.6607127217575808
Q12265,0.0016848608234757,8.692223038810019e-07,0.6990623046275549
P39552,0.0004914177401804,6.600841035610303e-09,0.4902328203189122
Q9NVD7,0.0002457088700902,4.179083877972338e-07,0.511307623567848
P06611,0.0021645781412709,6.043643570877622e-08,0.0252972000410804
P0AA49,0.0024102870113611,1.6575212879839184e-08,0.0250185142031817
P0CS86,0.0006201223864181,2.0387898043489078e-07,0.0129103825161421
Q6P4F2,0.0003861139387131,2.628739942893609e-07,0.2700812279304305
Q9Y2Q5,0.0006435232311886,5.065891730213415e-06,0.312312639840155
P53273,0.0012519451952215,1.948804373223937e-07,0.6976684619004242
Q8N0Z6,0.0003861139387131,1.223800232457762e-06,0.4631951145256008
P0A905,0.0024804895456725,1.9399627371874252e-07,0.0255088829209827
Q9UNG2,0.0007722278774263,1.2847892987895337e-06,0.3053001039364877
Q93009,0.0013455485743035,0.0001686804411809,0.5260235272514907
Q58WW2,0.0006318228088033,7.277990166764273e-06,0.2887504682988658
Q9R1T2,0.0003627130939426,5.453931607714612e-05,0.1407369492599385
O14715,0.0005733206968771,9.203552148663567e-06,0.2907191518243776
P54114,0.0003978143610984,7.756042953932357e-09,0.653766147851098
Q8TGJ7,0.0008073291445821,1.221704566396153e-07,0.5575057536241097
Q9BQE9,0.0006669240759591,2.7485914827332765e-06,0.2966445101207351
Q9NVS2,0.001322147729533,4.0401392885008156e-07,0.3050097415289292
Q9P0J1,0.0008073291445821,4.5323109408380325e-06,0.3017677821065218
Q10077,0.0012636456176067,4.709720173752877e-07,0.0125300621180704
P17706,0.0007137257655001,6.91530858804032e-06,0.5056405880873781
Q8WUE5,0.0002106076029344,1.1684570016420752e-07,0.2952744152605487
Q15388,0.0004095147834836,7.756058520774549e-06,0.5964072592908378
P48412,0.002550692079984,1.0191691873347185e-07,0.8447434766760017
P32892,0.0013455485743035,5.849317409374299e-07,0.6799687225386218
Q6IAA8,0.0074414686370177,0.0002884030571029,0.3141150646599273
P17540,0.0002106076029344,1.9041025398053904e-06,0.529945872279201
Q9HBV2,0.0009828354803608,4.989732449000079e-06,0.2994512083079804
Q9Y5J3,0.0002574092924754,6.039557646107693e-06,0.2884085210177703
O14531,0.0004446160506394,3.847064409950684e-06,0.3017608991581998
Q84JG2,0.0008073291445821,1.6366828416190562e-06,0.017130256980429
P36613,0.0019305696935659,2.012204589335668e-06,0.0133808110177093
O43809,0.0009594346355903,7.444208501582881e-05,0.6029440690963596
Q8N1G0,0.0004212152058689,3.501833747458351e-06,0.2931422214160187
Q21633,0.0004095147834836,1.5750525305474562e-06,0.0202764373646775
