,degree_centrality,betweenness_centrality,closeness_centrality,layer
Q9H4I2,0.0,0.0,0.0,biogrid
D5SHR3,0.0,0.0,0.0,biogrid
Q9VCR9,0.0,0.0,0.0,biogrid
P41252,0.0,0.0,0.0,biogrid
Q7JR24,0.0,0.0,0.0,biogrid
P36507,0.0,0.0,0.0,biogrid
Q9VQQ3,0.0,0.0,0.0,biogrid
Q8MTA8,0.0,0.0,0.0,biogrid
Q6GV06,0.0,0.0,0.0,biogrid
Q8SXN9,0.0,0.0,0.0,biogrid
A1Z7N6,0.0,0.0,0.0,biogrid
Q9VBQ5,0.0,0.0,0.0,biogrid
Q9VCA2,0.0,0.0,0.0,biogrid
P54750,0.0,0.0,0.0,biogrid
A8DYI3,0.0,0.0,0.0,biogrid
Q9VWJ9,0.0,0.0,0.0,biogrid
Q0KI81,0.0,0.0,0.0,biogrid
Q13242,0.0,0.0,0.0,biogrid
Q9V4A1,0.0,0.0,0.0,biogrid
Q9VDC3,0.0,0.0,0.0,biogrid
Q9XZH6,0.0,0.0,0.0,biogrid
Q24537,0.0,0.0,0.0,biogrid
Q9W4X1,0.0,0.0,0.0,biogrid
Q24167,0.0,0.0,0.0,biogrid
Q9VGN9,0.0,0.0,0.0,biogrid
O76912,0.0,0.0,0.0,biogrid
Q99816,0.0,0.0,0.0,biogrid
Q9VTU3,0.0,0.0,0.0,biogrid
Q9VXP5,0.0,0.0,0.0,biogrid
A0A0B4KGQ0,0.0,0.0,0.0,biogrid
P0CG69,0.0,0.0,0.0,biogrid
Q9VIY3,0.0,0.0,0.0,biogrid
Q9VTP5,0.0,0.0,0.0,biogrid
P14324,0.0,0.0,0.0,biogrid
Q9VJU8,0.0,0.0,0.0,biogrid
Q9VCZ8,0.0,0.0,0.0,biogrid
Q961L4,0.0,0.0,0.0,biogrid
Q9V3S7,0.0,0.0,0.0,biogrid
Q9VX94,0.0,0.0,0.0,biogrid
Q9VAQ0,0.0,0.0,0.0,biogrid
Q8SXG2,0.0,0.0,0.0,biogrid
Q9VNN7,0.0,0.0,0.0,biogrid
Q23972,0.0,0.0,0.0,biogrid
O61351,0.0,0.0,0.0,biogrid
Q8SX72,0.0,0.0,0.0,biogrid
Q7KTK9,0.0,0.0,0.0,biogrid
Q9VSY9,0.0,0.0,0.0,biogrid
Q9VS36,0.0,0.0,0.0,biogrid
Q9VMM7,0.0,0.0,0.0,biogrid
A1Z917,0.0,0.0,0.0,biogrid
Q8WW38,0.0,0.0,0.0,biogrid
Q9VVE3,0.0,0.0,0.0,biogrid
Q7KMS3,0.0,0.0,0.0,biogrid
O14964,0.0,0.0,0.0,biogrid
P13805,0.0,0.0,0.0,biogrid
Q9VRC9,0.0,0.0,0.0,biogrid
Q9W1R0,0.0,0.0,0.0,biogrid
Q9VY55,0.0,0.0,0.0,biogrid
O76922,0.0,0.0,0.0,biogrid
Q7JYV7,0.0,0.0,0.0,biogrid
A0A126GV30,0.0,0.0,0.0,biogrid
M9PG08,0.0,0.0,0.0,biogrid
Q9VBX7,0.0,0.0,0.0,biogrid
Q9VGC7,0.0,0.0,0.0,biogrid
Q9VRI8,0.0,0.0,0.0,biogrid
Q9VXI3,0.0,0.0,0.0,biogrid
Q8MLV3,0.0,0.0,0.0,biogrid
Q86B99,0.0,0.0,0.0,biogrid
Q9VKN7,0.0,0.0,0.0,biogrid
Q8MSU4,0.0,0.0,0.0,biogrid
Q9VL93,0.0,0.0,0.0,biogrid
Q8MUJ1,0.0,0.0,0.0,biogrid
Q9VEP4,0.0,0.0,0.0,biogrid
Q8T465,0.0,0.0,0.0,biogrid
Q9VP96,0.0,0.0,0.0,biogrid
Q9VF82,0.0,0.0,0.0,biogrid
Q02094,0.0,0.0,0.0,biogrid
Q9VR09,0.0,0.0,0.0,biogrid
Q9V3B4,0.0,0.0,0.0,biogrid
Q9VZJ9,0.0,0.0,0.0,biogrid
Q9VSG0,0.0,0.0,0.0,biogrid
P08099,0.0,0.0,0.0,biogrid
P54733,0.0,0.0,0.0,biogrid
Q9W3R3,0.0,0.0,0.0,biogrid
Q9W2J7,0.0,0.0,0.0,biogrid
M9PC99,0.0,0.0,0.0,biogrid
Q9VL01,0.0,0.0,0.0,biogrid
P62826,0.0,0.0,0.0,biogrid
A1Z705,0.0,0.0,0.0,biogrid
Q9W4L5,0.0,0.0,0.0,biogrid
Q9VTT2,0.0,0.0,0.0,biogrid
M9PGI6,0.0,0.0,0.0,biogrid
Q99081,0.0,0.0,0.0,biogrid
O18640,0.0,0.0,0.0,biogrid
Q9V496,0.0,0.0,0.0,biogrid
Q15080,0.0,0.0,0.0,biogrid
Q9VYD7,0.0,0.0,0.0,biogrid
X2JCD3,0.0,0.0,0.0,biogrid
Q9VJB2,0.0,0.0,0.0,biogrid
Q8IGF3,0.0,0.0,0.0,biogrid
Q24113,0.0,0.0,0.0,biogrid
