node,biogrid_degree_centrality,biogrid_closeness_centrality,biogrid_betweenness_centrality,string_degree_centrality,string_closeness_centrality,string_betweenness_centrality
Q8TAS1,0.0004212152058689,0.2714645067235864,9.219195310677028e-07,0.0257855726067439,0.0029746063824699,4.41168844111193e-05
Q5VV41,0.0006084219640329,0.2984540377530748,6.544558039866757e-06,0.0426453700803841,0.0030764363889207,8.435903111758877e-05
Q9H3S7,0.0003276118267869,0.304407605180586,3.668675004243717e-07,0.0828374569370498,0.00320766920589,0.0003606828576653
Q9NUG6,0.0008307299893526,0.5005602494211542,2.0685182865033496e-06,0.016233427288861,0.0027742994850356,1.096434696086814e-05
Q9BQQ3,0.0009360337908198,0.3134765351050283,4.674836258531349e-06,0.0359118905940077,0.0029489466497407,5.827939061397713e-05
Q92185,0.0002223080253197,0.2870455075850568,2.0571402499692627e-06,0.0204614260361206,0.0028661238315698,7.598714248436098e-05
Q15742,0.0004446160506394,0.2975576835022257,1.770103489991498e-06,0.0266729303685144,0.0029504253691612,1.4594073931716007e-05
Q9NVD7,0.0002457088700902,0.511307623567848,4.179083877972338e-07,0.033823989978077,0.0029706654923353,6.746147667936122e-05
Q6P4F2,0.0003861139387131,0.2700812279304305,2.628739942893609e-07,0.0210355987055016,0.0028640277486885,7.101081566928002e-06
Q9Y2Q5,0.0006435232311886,0.312312639840155,5.065891730213415e-06,0.0297525837770122,0.0028987129944289,5.154148144598176e-05
Q8N0Z6,0.0003861139387131,0.4631951145256008,1.223800232457762e-06,0.0112224658106274,0.0026180414459,8.61195175491971e-06
Q9UNG2,0.0007722278774263,0.3053001039364877,1.2847892987895337e-06,0.0150850819500991,0.0026267613203842,6.980337132025435e-07
Q93009,0.0013455485743035,0.5260235272514907,0.0001686804411809,0.0814803215366948,0.0031148079380615,0.0001522439318351
Q58WW2,0.0006318228088033,0.2887504682988658,7.277990166764273e-06,0.0929115774089153,0.0032058908872576,0.0005515366000609
O14715,0.0005733206968771,0.2907191518243776,9.203552148663567e-06,0.0275080906148867,0.0029422320880218,6.251572263512507e-05
Q9BQE9,0.0006669240759591,0.2966445101207351,2.7485914827332765e-06,0.0108570832028395,0.0026436587309527,2.488986303328454e-06
Q9NVS2,0.001322147729533,0.3050097415289292,4.0401392885008156e-07,0.033041027247103,0.0028560341436064,4.466118968117705e-05
Q9P0J1,0.0008073291445821,0.3017677821065218,4.5323109408380325e-06,0.0461948011274663,0.0030706159936491,2.4354201747259616e-05
P17706,0.0007137257655001,0.5056405880873781,6.91530858804032e-06,0.0643595364860632,0.0031252304200839,0.0002673711482223
Q8WUE5,0.0002106076029344,0.2952744152605487,1.1684570016420752e-07,0.0318404843929428,0.0029710239099344,7.336179342300674e-05
Q15388,0.0004095147834836,0.5964072592908378,7.756058520774549e-06,0.074485854473327,0.0031266111031414,0.0001394399714375
Q6IAA8,0.0074414686370177,0.3141150646599273,0.0002884030571029,0.0196262657897484,0.0028167361588028,4.320186514821399e-07
P17540,0.0002106076029344,0.529945872279201,1.9041025398053904e-06,0.0438981104499425,0.0030442000108369,5.8536620326340354e-05
Q9HBV2,0.0009828354803608,0.2994512083079804,4.989732449000079e-06,0.01837352542019,0.0027062311119674,2.392700639856143e-05
Q9Y5J3,0.0002574092924754,0.2884085210177703,6.039557646107693e-06,0.0490134669589727,0.0030198836592894,4.412850358085286e-05
O14531,0.0004446160506394,0.3017608991581998,3.847064409950684e-06,0.0266729303685144,0.002947063612148,2.3578262570441396e-05
O43809,0.0009594346355903,0.6029440690963596,7.444208501582881e-05,0.0503706023593276,0.0029825228643739,2.096225392374241e-05
Q8N1G0,0.0004212152058689,0.2931422214160187,3.501833747458351e-06,0.0155548595886835,0.0028411167941026,4.237738526378163e-06
P20036,0.001322147729533,0.3106407032536287,1.8002170369983683e-05,0.0359118905940077,0.0028784479999759,3.7694941525566606e-05
Q5VTE6,0.0006201223864181,0.2828327266648193,3.788447870714857e-06,0.0212443887670946,0.0028805011512682,8.241928266702426e-06
P42336,0.0003861139387131,0.590280519796845,1.0948518783457742e-05,0.1387409959285938,0.0032412245596101,0.0003587931648624
Q9NSD9,0.0003159114044016,0.5019887300792178,4.6607349573108e-07,0.0601837352542019,0.0030492560375524,5.94957878547486e-05
O15372,0.0007956287221968,0.6037098099722223,8.980590271214879e-06,0.0587744023384486,0.0030564539390891,9.429989793276249e-05
Q96CP6,0.0014040506862297,0.2741499012153109,1.4151246324144312e-05,0.0114834533876187,0.0027234794119854,3.262777956411842e-05
Q8WWZ8,0.0006201223864181,0.3033854317885173,1.658547794680214e-06,0.0084559974945192,0.0025887114721752,1.9457064785134958e-06
P62937,0.0008541308341231,0.6028088907641742,0.0003221304399191,0.0984967115565299,0.0032004549263417,0.0001127344312488
P05014,0.0004446160506394,0.2999421413610867,5.636354060152936e-06,0.0094477502870863,0.0024630871206179,5.349318571644042e-06
Q6UWQ5,0.001368949419074,0.3139863549625042,6.430924713061545e-06,0.0076730347635452,0.0026470217620062,1.3208029069061157e-06
O75298,0.0004095147834836,0.2930464293436693,4.598831817554727e-07,0.0350767303476354,0.0029739557663276,9.242452398444116e-05
P54219,0.0007371266102706,0.3104830250997438,3.0700571423185346e-06,0.0258377701221421,0.002944301252519,3.874481236823966e-05
P52306,0.0008190295669673,0.4723950262493534,7.385697542366237e-06,0.0206702160977137,0.0028339846803882,2.0573364609065685e-05
O75781,0.0005031181625656,0.2636808764715695,3.504487753213512e-06,0.0170685875352333,0.0028551956199469,1.108673830924598e-05
Q9UL03,0.0002925105596312,0.4991105557627046,5.515849845182698e-07,0.0223927341058565,0.0028665187971094,6.5501227478527206e-06
Q9NR55,0.0003510126715574,0.2887698067545806,3.5369665361415027e-06,0.0311097191773671,0.0029628850625464,1.177164834483315e-05
O60663,0.0002574092924754,0.284052355316453,1.5317300680257755e-06,0.0413926297108257,0.0030273868048411,9.429280762455873e-05
Q9UMR7,0.0011583418161395,0.3059010285867761,1.1187279072697409e-05,0.0326234471239169,0.0029592694969566,1.8053522015007583e-05
P43243,0.0004095147834836,0.5323697838012922,1.6101314794182716e-06,0.0638897588474788,0.0030432072526119,0.0001035936843986
Q4G0M1,0.0002925105596312,0.3118964083642954,1.4037122241662458e-07,0.0110658732644326,0.002639096342996,3.0089781275923e-06
P04632,0.0003978143610984,0.510109932428713,6.369779226762059e-06,0.0307965340849775,0.0030076401406768,2.36877629431411e-05
Q8WU76,0.0003510126715574,0.2722841667780205,1.6446132797888025e-06,0.0198350558513414,0.0027751088467567,1.8807026237356663e-05
Q8WWV3,0.0006318228088033,0.2765064474764314,3.018445443460915e-07,0.0280300657688694,0.0029497212484166,5.756799500010859e-05
Q5JPH6,0.0006903249207296,0.2977499755110813,6.909993500846458e-07,0.0566343042071197,0.0030389717431781,5.89816483082981e-05
Q92878,0.0008073291445821,0.6040269223182777,8.755504945459274e-06,0.0448376657271113,0.0029882831784364,3.5382163568004655e-05
Q6NUN9,0.0002106076029344,0.2694682792560112,5.39689945747384e-07,0.0305355465079862,0.0028905113585871,3.756756030717223e-05
Q4U2R6,0.0013923502638445,0.3095149613678287,3.121856674605813e-06,0.0256811775759473,0.0028585407297291,9.404699237826517e-06
Q9NP50,0.0003393122491721,0.2895955424635833,1.1570638065051988e-05,0.0139889341267355,0.0028048868689773,1.5199816527447208e-05
Q01167,0.0008424304117378,0.2863653757465181,2.2221125681539967e-05,0.046716776281449,0.0030693905277948,7.813142023734403e-05
Q9Y2X8,0.0004914177401804,0.2716357858214455,2.990451241126912e-06,0.04849149180499,0.0030822659980432,4.050325506994506e-05
Q15058,0.001041337592287,0.2713827841984172,6.516394048736037e-06,0.1313289487420398,0.0030782129269196,0.0007571461476442
Q4VCS5,0.0018603671592544,0.6024773894085562,3.184802764474865e-05,0.0349201378014406,0.0029586401930297,7.090935408977942e-05
Q9UHN6,0.0009243333684346,0.2714403348705062,4.184201311506337e-06,0.0160768347426662,0.0027745377435903,3.458873205957782e-05
P08218,0.0003393122491721,0.2942126650512279,1.1945271653119348e-06,0.0145631067961165,0.002850764318216,1.611002674531409e-05
Q8WU79,0.0004563164730246,0.5827240852815997,3.1620601228917577e-06,0.0313707067543584,0.0030157327177406,7.826887994024396e-06
O60637,0.0010296371699018,0.3032959188232302,6.409590868799597e-06,0.0220273514980686,0.0028766443893647,1.7477579870763076e-05
Q00577,0.0010647384370575,0.3894601869561892,1.4995322170501495e-06,0.0354943104708215,0.0030277762675948,2.7463320265405837e-05
O43752,0.0043642575496975,0.2873510555732375,6.431878950233879e-05,0.0444722831193235,0.0029863919481211,0.0001030260397844
Q9BTT0,0.0003510126715574,0.553686797929453,4.146109236379678e-07,0.0377910011483453,0.0030106707676408,8.080596682391217e-05
O43597,0.0002340084477049,0.2960220748967143,1.9095121206964195e-06,0.039095939033302,0.0029685683189083,7.967250021169392e-05
Q8N4P3,0.0004446160506394,0.4983580093131898,2.1630194560713207e-06,0.0366426558095834,0.0029205519321788,1.8814112202181384e-05
Q13620,0.0005499198521066,0.5407870405314075,4.113822105234754e-06,0.0873264432613007,0.0031457110500694,0.0001844552272029
Q9H013,0.0003159114044016,0.2741792029057939,1.8617411164340643e-06,0.0260465601837352,0.002927365488717,2.006128510454256e-05
Q9NVC6,0.0012519451952215,0.2980055423538313,1.0302026383378796e-05,0.0350245328322371,0.0029428019935724,4.560072126167741e-05
P11177,0.0018018650473282,0.6033817115966907,8.035555663311559e-06,0.0648293141246476,0.0030576290782153,0.0002196604397971
Q02383,0.0006435232311886,0.2727986961712937,6.199866812576996e-05,0.012527403695584,0.0026717343806807,2.6913229920927077e-06
P04406,0.0007020253431148,0.5552703311685009,7.328062147159924e-06,0.3881929220169119,0.0034514951254252,0.0055583530222615
Q9Y4B4,0.0002106076029344,0.505303255194496,8.872949737090201e-07,0.0425409750495876,0.003037907722324,2.5450747809768985e-05
P15884,0.0004095147834836,0.2919373290861912,8.445264160760707e-06,0.0543376135295959,0.0030731960613426,9.516495281143828e-05
Q8N2E2,0.0007371266102706,0.293666895263373,3.5263242440488703e-06,0.0122142186031944,0.0028040789263764,5.125647508040975e-06
O43464,0.0006201223864181,0.5550210838692214,1.1172493037750376e-05,0.0543898110449942,0.0030999383021988,4.276327542598176e-05
Q15198,0.0001989071805492,0.2788798344085317,1.497095336728016e-06,0.0253157949681595,0.0029732782091671,9.470330645708605e-06
O75173,0.0006435232311886,0.307609722335233,1.9281276849258124e-06,0.0340849775550683,0.0029752924003627,2.431306574099904e-05
O75366,0.0003744135163279,0.3059206196749202,8.577318335207122e-07,0.0233844868984236,0.0029559806069897,3.761077904503743e-05
O15446,0.0049492786689599,0.6038027844790926,9.83583934420404e-05,0.0192608831819605,0.0028077315059482,2.638035161908861e-05
Q92561,0.0004212152058689,0.2800662991900484,0.0001082418230993,0.0537112433448167,0.0030281739674721,0.0001432759614654
O75665,0.0008658312565083,0.2735046109226722,5.374955628320564e-06,0.0314229042697567,0.0028317628662442,2.778695989764484e-05
Q8NAX2,0.0013338481519182,0.2707754066344669,1.5881459575543666e-05,0.006263701847792,0.0025295543796095,1.2930765278112871e-06
Q6ZRI8,0.0012987468847625,0.5034757561020413,2.6063199885158844e-05,0.0279778682534711,0.002972902178204,3.190998055741161e-05
O60216,0.0007371266102706,0.5904895130859638,9.34450220055866e-06,0.084246789852803,0.0031216047375134,0.0002434047387475
O75386,0.0007956287221968,0.295903818715853,1.155708422935332e-05,0.0317882868775446,0.0029768633481741,4.309523669068972e-05
Q70CQ3,0.0008190295669673,0.2732687467141397,4.624116133813883e-06,0.0326756446393151,0.0029360892541708,2.1639646532252357e-05
P07355,0.0007254261878853,0.6031427368727604,3.4490856795575694e-05,0.0814281240212965,0.003142288182172,0.0001301198552838
Q9Y468,0.0004797173177951,0.3031464805396617,2.583269692198919e-06,0.0320492744545359,0.0029508175511264,3.407965808127032e-05
O14678,0.0004212152058689,0.2761319335733014,3.411898735220947e-06,0.0332498173086961,0.0029447723757663,5.2900728012064266e-05
P11801,0.0006552236535738,0.1944554644132053,2.1389238539813376e-06,0.0234366844138219,0.0029750664645812,7.017386824701218e-06
Q00534,0.0003861139387131,0.3003705477160517,7.906855605387482e-06,0.1219333959703518,0.0032335306904393,0.0002249395554618
P68431,0.0009594346355903,0.601564339575693,2.1020261043941046e-05,0.0790270383129763,0.0031527094244585,9.70554157884082e-05
Q9HC21,0.0004446160506394,0.3005733397250241,6.031766843732929e-07,0.0215575738594842,0.0029177941427544,8.11801637157461e-06
Q14258,0.0003510126715574,0.5549475786619901,3.3189682765594043e-06,0.0433761352959599,0.0030005821674452,9.384894795524868e-06
Q6UVK1,0.0005616202744919,0.2946113380057698,2.221078323175637e-06,0.0477607265894143,0.003035828576943,4.603940418537298e-05
P62306,0.0006669240759591,0.5219645329388384,3.615825034443897e-06,0.0843511848835995,0.0030466360497607,0.0001434310500809
Q92995,0.0004212152058689,0.5253226286114346,7.99477977918841e-06,0.0340849775550683,0.0029555656210236,3.9069030480203046e-05
Q15042,0.0008775316788936,0.5905515566248125,3.75184501796718e-06,0.0301701639001983,0.002932523488659,2.85651504596584e-05
Q96BP3,0.0002691097148607,0.5022871485409088,6.435596040052804e-07,0.0322058670007307,0.0029249069306156,3.1197885687333275e-05
Q8WY22,0.0010647384370575,0.2887991767394346,8.471073971965357e-06,0.0106482931412464,0.0026301154117926,1.1843390074429685e-05
Q8NBT2,0.0004095147834836,0.2953870692396476,9.491830286327166e-07,0.0236976719908132,0.0027692398423623,2.1391511356082605e-05
Q99961,0.0003159114044016,0.5909631199663697,2.577421131213977e-06,0.029909176323207,0.0029269388219674,4.515863162474881e-06
Q6XQN6,0.0003042109820164,0.5401750598783381,1.2681712461865949e-06,0.0302223614155966,0.002966896754223,3.5231799961208605e-05
