node,biogrid_degree_centrality,biogrid_closeness_centrality,biogrid_betweenness_centrality,string_degree_centrality,string_closeness_centrality,string_betweenness_centrality,intact_degree_centrality,intact_closeness_centrality,biogrid_clustering_coefficient,intact_clustering_coefficient,string_clustering_coefficient
Q8TAS1,0.000421215,0.271464507,9.22e-07,0.025785573,0.002974606,4.41e-05,0.000269778,0.741203683,0.0952380952380952,0.0952380952380952,0.1576730091729558
Q5VV41,0.000608422,0.298454038,6.54e-06,0.04264537,0.003076436,8.44e-05,0.000239803,0.77289727,0.0226244343891402,0.0745967741935483,0.1775325797393621
Q9H3S7,0.000327612,0.304407605,3.67e-07,0.082837457,0.003207669,0.000360683,0.000359704,0.8276142,0.0767195767195767,0.0647163120567375,0.1240501521266342
Q9NUG6,0.00083073,0.500560249,2.07e-06,0.016233427,0.002774299,1.1e-05,0.000232309,0.756957294,0.2291483757682177,0.2516129032258064,0.1291567264806555
Q15742,0.000444616,0.297557684,1.77e-06,0.02667293,0.002950425,1.46e-05,0.000577025,0.680435673,0.0284495021337126,0.086807928913192,0.1331031042554007
Q9NVD7,0.000245709,0.511307624,4.18e-07,0.03382399,0.002970665,6.75e-05,0.000262284,0.827367616,0.0571428571428571,0.0890756302521008,0.1500467494800313
Q9Y2Q5,0.000643523,0.31231264,5.07e-06,0.029752584,0.002898713,5.15e-05,0.000172358,0.81321371,0.1373737373737373,0.3557312252964427,0.1535658125982795
Q8N0Z6,0.000386114,0.463195115,1.22e-06,0.011222466,0.002618041,8.61e-06,0.000224815,0.730519403,0.106060606060606,0.0827586206896551,0.1610084764181699
Q93009,0.001345549,0.526023527,0.00016868,0.081480322,0.003114808,0.000152244,0.001978373,0.897137832,0.0154080854309687,0.0245419979260283,0.1983976412227533
Q58WW2,0.000631823,0.288750468,7.28e-06,0.092911577,0.003205891,0.000551537,0.000179852,0.75622344,0.0041928721174004,0.0942028985507246,0.085402100662536
O14715,0.000573321,0.290719152,9.2e-06,0.027508091,0.002942232,6.25e-05,0.000217321,0.744485746,0.0272108843537414,0.1009852216748768,0.1590536864813385
Q9BQE9,0.000666924,0.29664451,2.75e-06,0.010857083,0.002643659,2.49e-06,0.000314741,0.7747938,0.0864661654135338,0.0615563298490127,0.1309921962095875
Q9NVS2,0.001322148,0.305009742,4.04e-07,0.033041027,0.002856034,4.47e-05,0.000262284,0.830719793,0.5334620334620335,0.3428571428571428,0.2715469834223208
Q9P0J1,0.000807329,0.301767782,4.53e-06,0.046194801,0.003070616,2.44e-05,0.000172358,0.742252276,0.1359761295822676,0.0395256916996047,0.187442799805711
P17706,0.000713726,0.505640588,6.92e-06,0.064359536,0.00312523,0.000267371,0.000179852,0.753852487,0.2103825136612022,0.0471014492753623,0.1607419344645622
Q8WUE5,0.000210608,0.295274415,1.17e-07,0.031840484,0.002971024,7.34e-05,0.000337223,0.706105814,0.0326797385620915,0.0363636363636363,0.2084793668739401
Q15388,0.000409515,0.596407259,7.76e-06,0.074485854,0.003126611,0.00013944,0.001169038,0.866612672,0.0588235294117647,0.0267990074441687,0.1787840397227974
