node,biogrid_degree_centrality,string_degree_centrality,intact_degree_centrality
Q8TAS1,0.0004212152058689,0.0257855726067439,0.000269778
Q13127,0.0,0.0504749973901242,0.000127395
Q13233,3.510126715574432e-05,0.0898841215158158,0.000966705
Q5VV41,0.0006084219640329,0.0426453700803841,0.000239803
Q9H3S7,0.0003276118267869,0.0828374569370498,0.000359704
Q9NUG6,0.0008307299893526,0.016233427288861,0.000232309
Q9BQQ3,0.0009360337908198,0.0359118905940077,0.000119901
P43268,3.510126715574432e-05,0.0477607265894143,0.000397173
O15427,5.850211192624054e-05,0.0349201378014406,0.000247297
Q96PQ1,0.0001053038014672,0.0087169850715105,0.000164864
O75363,2.340084477049621e-05,0.024637227267982,3.75e-05
Q92185,0.0002223080253197,0.0204614260361206,6.74e-05
Q9GZX7,0.0,0.047708529074016,0.000232309
Q5J5C9,0.0001053038014672,0.0045411838396492,0.000134889
Q9HBY0,0.0,0.0279256707380728,7.49e-06
Q6PIL6,0.0001521054910082,0.0639941538782754,7.49e-05
Q15742,0.0004446160506394,0.0266729303685144,0.000577025
P60568,1.1700422385248109e-05,0.0969307860945819,3e-05
Q63HM2,0.0,0.0040714062010648,5.25e-05
Q0WX57,0.0,0.0105960956258482,5.25e-05
Q9NVD7,0.0002457088700902,0.033823989978077,0.000262284
Q96D59,3.510126715574432e-05,0.0183213279047917,0.00035221
Q6P4F2,0.0003861139387131,0.0210355987055016,2.25e-05
O60315,2.340084477049621e-05,0.0640463513936736,0.000434643
Q9Y2Q5,0.0006435232311886,0.0297525837770122,0.000172358
Q8N699,9.360337908198486e-05,0.0146153043115147,6e-05
Q8N0Z6,0.0003861139387131,0.0112224658106274,0.000224815
P98177,2.340084477049621e-05,0.0497442321745484,0.000127395
Q9UNG2,0.0007722278774263,0.0150850819500991,1.5e-05
Q93009,0.0013455485743035,0.0814803215366948,0.001978373
Q58WW2,0.0006318228088033,0.0929115774089153,0.000179852
Q8WXU2,7.020253431148864e-05,0.0439503079653408,7.49e-05
A6NGG8,0.0,0.0101263179872638,3.75e-05
O14715,0.0005733206968771,0.0275080906148867,0.000217321
A6NGB7,1.1700422385248109e-05,0.002348888192922,7.49e-06
Q9BQE9,0.0006669240759591,0.0108570832028395,0.000314741
Q9NVS2,0.001322147729533,0.033041027247103,0.000262284
Q9P0J1,0.0008073291445821,0.0461948011274663,0.000172358
P17706,0.0007137257655001,0.0643595364860632,0.000179852
Q8WUE5,0.0002106076029344,0.0318404843929428,0.000337223
Q15388,0.0004095147834836,0.074485854473327,0.001169038
Q86T82,5.850211192624054e-05,0.0312141142081636,4.5e-05
Q6IAA8,0.0074414686370177,0.0196262657897484,0.000464618
P17540,0.0002106076029344,0.0438981104499425,0.000112408
Q9HBV2,0.0009828354803608,0.01837352542019,0.00054705
Q9UQ26,1.1700422385248109e-05,0.046142603612068,7.49e-05
Q9Y5J3,0.0002574092924754,0.0490134669589727,0.000142383
O14531,0.0004446160506394,0.0266729303685144,0.000187346
P27815,0.0001053038014672,0.0418624073494101,7.49e-05
O43809,0.0009594346355903,0.0503706023593276,0.001086606
P37840,0.0001521054910082,0.1002714270800709,0.003514609
Q8N1G0,0.0004212152058689,0.0155548595886835,0.000344716
Q8WZ75,0.0,0.0399310992796742,4.5e-05
A2RUH7,8.190295669673675e-05,0.009186762710095,0.000134889
Q8N414,4.680168954099243e-05,0.0226015241674496,7.49e-06
Q9BWK5,0.0001053038014672,0.0042801962626578,4.5e-05
P20036,0.001322147729533,0.0359118905940077,0.000509581
Q7Z5V6,2.340084477049621e-05,0.0052719490552249,4.5e-05
Q5VTE6,0.0006201223864181,0.0212443887670946,6.74e-05
P42336,0.0003861139387131,0.1387409959285938,0.000696927
Q9NSD9,0.0003159114044016,0.0601837352542019,0.000299753
Q8IZQ8,0.0,0.0341893725858649,6.74e-05
Q0VF96,0.0001287046462377,0.0163900198350558,0.000142383
Q14678,0.0001287046462377,0.0454640359118905,0.000119901
Q99680,0.0,0.0189998956049692,3e-05
Q86WK9,2.340084477049621e-05,0.0122664161185927,3e-05
Q96N21,0.0001872067581639,0.0108570832028395,0.001251471
Q7Z5N4,0.0001287046462377,0.0296481887462156,3e-05
O15372,0.0007956287221968,0.0587744023384486,0.000809334
Q96CP6,0.0014040506862297,0.0114834533876187,0.000232309
Q8WWZ8,0.0006201223864181,0.0084559974945192,9.74e-05
P62937,0.0008541308341231,0.0984967115565299,0.000891767
P05014,0.0004446160506394,0.0094477502870863,8.24e-05
Q6UWQ5,0.001368949419074,0.0076730347635452,7.49e-06
O75298,0.0004095147834836,0.0350767303476354,3e-05
Q5VTA0,0.0001170042238524,0.0034450360162856,4.5e-05
Q99418,0.0001872067581639,0.028343250861259,0.000142383
P54219,0.0007371266102706,0.0258377701221421,0.000344716
A6NNW6,0.0,0.0578870445766781,1.5e-05
P52306,0.0008190295669673,0.0206702160977137,0.000389679
Q8N6L0,0.0,0.0133625639419563,0.001228989
Q9NQ40,0.0,0.0200960434283328,2.25e-05
Q96KS0,1.1700422385248109e-05,0.0340327800396701,6.74e-05
Q8WXX7,0.0001053038014672,0.0352333228938302,0.000209827
O75781,0.0005031181625656,0.0170685875352333,0.000187346
O75604,3.510126715574432e-05,0.0426975675957824,0.000906754
Q8NBI2,0.0,0.0095521453178828,0.000164864
Q9UL03,0.0002925105596312,0.0223927341058565,0.000142383
Q99607,0.0,0.0288130284998434,0.00080184
Q5M9N0,3.510126715574432e-05,0.0073598496711556,8.99e-05
Q9NR55,0.0003510126715574,0.0311097191773671,0.000412161
O60663,0.0002574092924754,0.0413926297108257,3e-05
O14514,8.190295669673675e-05,0.025420189998956,6.74e-05
Q96L33,0.0,0.0751644221735045,1.5e-05
P43243,0.0004095147834836,0.0638897588474788,0.001708595
Q16526,0.0001638059133934,0.0508403799979121,0.000981693
Q4G0M1,0.0002925105596312,0.0110658732644326,1.5e-05
P04632,0.0003978143610984,0.0307965340849775,0.000337223
O75631,0.0,0.0200960434283328,1.5e-05
Q6UXI7,2.340084477049621e-05,0.012318613633991,1.5e-05
Q16478,7.020253431148864e-05,0.0555903538991544,3e-05
Q8WU76,0.0003510126715574,0.0198350558513414,0.000134889
P35452,1.1700422385248109e-05,0.0196262657897484,7.49e-06
B1AJZ9,1.1700422385248109e-05,0.0071510596095625,2.25e-05
Q8WWV3,0.0006318228088033,0.0280300657688694,0.000284766
Q5JPH6,0.0006903249207296,0.0566343042071197,6.74e-05
Q8TDU9,2.340084477049621e-05,0.0098131328948742,8.24e-05
Q92878,0.0008073291445821,0.0448376657271113,0.000636976
Q08708,5.850211192624054e-05,0.0393569266102933,0.000134889
Q6NUN9,0.0002106076029344,0.0305355465079862,0.000277272
Q9NPF7,2.340084477049621e-05,0.0184257229355882,4.5e-05
Q4U2R6,0.0013923502638445,0.0256811775759473,0.000179852
Q9NP50,0.0003393122491721,0.0139889341267355,0.000554544
O75783,5.850211192624054e-05,0.0288130284998434,0.000119901
Q8HWS3,1.1700422385248109e-05,0.0241152521139993,0.000344716
P07108,0.0001170042238524,0.0485436893203883,7.49e-05
Q9Y5K2,4.680168954099243e-05,0.0333542123394926,3e-05
P48544,0.0001755063357787,0.0292306086230295,0.000112408
Q9P0K8,1.1700422385248109e-05,0.0303267564463931,0.000554544
Q01167,0.0008424304117378,0.046716776281449,0.001019162
P37231,1.1700422385248109e-05,0.1494936841006368,0.000689433
Q96A09,4.680168954099243e-05,0.0091345651946967,0.000592013
Q9Y2X8,0.0004914177401804,0.04849149180499,0.000771865
Q15058,0.001041337592287,0.1313289487420398,0.000524569
P45381,3.510126715574432e-05,0.0250026098757699,9.74e-05
Q96PN7,9.360337908198486e-05,0.0169641925044367,7.49e-05
Q8TAQ5,9.360337908198486e-05,0.0105960956258482,0.000149877
O95319,2.340084477049621e-05,0.0409228520722413,8.99e-05
Q4VCS5,0.0018603671592544,0.0349201378014406,0.000726902
Q9UHN6,0.0009243333684346,0.0160768347426662,0.000127395
P08218,0.0003393122491721,0.0145631067961165,0.000112408
P62508,0.0001287046462377,0.0468733688276438,0.000284766
P57077,0.0,0.0053763440860215,2.25e-05
Q15629,0.0001287046462377,0.0174861676584194,0.000224815
Q5T890,0.0,0.0423843825033928,4.5e-05
Q8WU79,0.0004563164730246,0.0313707067543584,0.000247297
O60637,0.0010296371699018,0.0220273514980686,0.000374692
Q9NVE4,5.850211192624054e-05,0.0014615304311514,8.99e-05
Q9NZN3,0.0001053038014672,0.0394091241256916,9.74e-05
Q9H4Z3,3.510126715574432e-05,0.0106482931412464,0.000104914
Q00577,0.0010647384370575,0.0354943104708215,0.000382186
Q9H0B8,1.1700422385248109e-05,0.024637227267982,7.49e-06
P08588,0.0,0.0371124334481678,0.000112408
O43157,5.850211192624054e-05,0.0340849775550683,9.74e-05
Q6NY19,2.340084477049621e-05,0.0235410794446184,7.49e-06
Q76M96,1.1700422385248109e-05,0.0218707589518738,4.5e-05
O43752,0.0043642575496975,0.0444722831193235,0.000636976
Q9BTT0,0.0003510126715574,0.0377910011483453,0.000412161
O43597,0.0002340084477049,0.039095939033302,0.000771865
Q9H8M5,0.0001755063357787,0.0376344086021505,3e-05
Q8N4P3,0.0004446160506394,0.0366426558095834,8.99e-05
Q13620,0.0005499198521066,0.0873264432613007,0.003020016
P32418,0.0,0.0431673452343668,0.000157371
O75794,0.0001170042238524,0.0234888819292201,0.000112408
Q9H013,0.0003159114044016,0.0260465601837352,0.000134889
Q9NVC6,0.0012519451952215,0.0350245328322371,0.000539556
P11177,0.0018018650473282,0.0648293141246476,0.00044963
Q02383,0.0006435232311886,0.012527403695584,0.000202334
P42263,0.0001755063357787,0.0624804259317256,0.000127395
Q9UKT4,0.0001521054910082,0.0421755924417997,0.000104914
P04406,0.0007020253431148,0.3881929220169119,0.001776039
P30542,7.020253431148864e-05,0.0581480321536694,5.25e-05
Q9Y4B4,0.0002106076029344,0.0425409750495876,0.000374692
Q9BZQ8,8.190295669673675e-05,0.0153460695270905,3.75e-05
Q6NZ63,4.680168954099243e-05,0.0050631589936319,5.25e-05
P16455,0.0,0.0649337091554442,2.25e-05
P15884,0.0004095147834836,0.0543376135295959,0.001865965
Q8N2E2,0.0007371266102706,0.0122142186031944,5.25e-05
O43464,0.0006201223864181,0.0543898110449942,0.00183599
P09210,9.360337908198486e-05,0.0339805825242718,3.75e-05
Q15198,0.0001989071805492,0.0253157949681595,0.000179852
Q8NEZ3,0.0001755063357787,0.0205658210669172,0.000202334
P49448,0.0001170042238524,0.0437415179037477,9.74e-05
Q9Y473,1.1700422385248109e-05,0.0078818248251383,7.49e-05
