Interactor_A,Interactor_B,Detection_Method,Interactor_A_Taxid,Interactor_B_Taxid,Interaction_Type,Reference,Confidence_Value,Original_ID_A,Original_ID_B,database
P45985,Q14315,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:6416,entrez gene/locuslink:2318,BioGrid
Q86TC9,P35609,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:84665,entrez gene/locuslink:88,BioGrid
Q04771,P49354,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:90,entrez gene/locuslink:2339,BioGrid
P23769,P29590,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:2624,entrez gene/locuslink:5371,BioGrid
P15927,P40763,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:6118,entrez gene/locuslink:6774,BioGrid
P84077,Q9NZ52,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:375,entrez gene/locuslink:23163,BioGrid
P61204,P53365,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:377,entrez gene/locuslink:23647,BioGrid
P61204,P53367,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:377,entrez gene/locuslink:27236,BioGrid
Q8IZH2,P04075,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:54464,entrez gene/locuslink:226,BioGrid
P05067,Q92624,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:351,entrez gene/locuslink:10513,BioGrid
P51693,O75553,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:333,entrez gene/locuslink:1600,BioGrid
Q99967,P05549,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:10370,entrez gene/locuslink:7020,BioGrid
Q09472,P05549,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:2033,entrez gene/locuslink:7020,BioGrid
P04114,P55157,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:338,entrez gene/locuslink:4547,BioGrid
P32121,Q12967,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:409,entrez gene/locuslink:5900,BioGrid
P07333,P62993,MI:0018,9606,9606,MI:0407,MI:0463,0,entrez gene/locuslink:1436,entrez gene/locuslink:2885,BioGrid
