Interactor_A,Interactor_B,Detection_Method,Interactor_A_Taxid,Interactor_B_Taxid,Interaction_Type,Reference,Confidence_Value,Original_ID_A,Original_ID_B,database
P49418,O43426,MI:0084,9606,9606,MI:0407,MI:0471,0.56,uniprotkb:P49418,uniprotkb:O43426,IntAct
EBI-7121639,P49418,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7121639,uniprotkb:P49418,IntAct
EBI-7121654,P49418,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7121654,uniprotkb:P49418,IntAct
EBI-7121715,P49418,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7121715,uniprotkb:P49418,IntAct
P49418,EBI-7121765,MI:0084,9606,-2,MI:0407,MI:0471,0.44,uniprotkb:P49418,intact:EBI-7121765,IntAct
EBI-7121785,P49418,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7121785,uniprotkb:P49418,IntAct
P49418,EBI-7121821,MI:0084,9606,-2,MI:0407,MI:0471,0.44,uniprotkb:P49418,intact:EBI-7121821,IntAct
EBI-7121875,P49418,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7121875,uniprotkb:P49418,IntAct
P49418,EBI-7121906,MI:0084,9606,-2,MI:0407,MI:0471,0.44,uniprotkb:P49418,intact:EBI-7121906,IntAct
P49418,EBI-7121931,MI:0084,9606,-2,MI:0407,MI:0471,0.44,uniprotkb:P49418,intact:EBI-7121931,IntAct
P49418,EBI-7121980,MI:0084,9606,-2,MI:0407,MI:0471,0.44,uniprotkb:P49418,intact:EBI-7121980,IntAct
EBI-7121996,P49418,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7121996,uniprotkb:P49418,IntAct
P49418,EBI-7122051,MI:0084,9606,-2,MI:0407,MI:0471,0.44,uniprotkb:P49418,intact:EBI-7122051,IntAct
EBI-7122090,Q99962,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122090,uniprotkb:Q99962,IntAct
EBI-7122121,Q99962,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122121,uniprotkb:Q99962,IntAct
EBI-7122141,Q99962,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122141,uniprotkb:Q99962,IntAct
EBI-7122210,Q99961,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122210,uniprotkb:Q99961,IntAct
EBI-7122234,Q99961,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122234,uniprotkb:Q99961,IntAct
EBI-7122298,Q99961,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122298,uniprotkb:Q99961,IntAct
EBI-7122348,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122348,uniprotkb:Q99963,IntAct
EBI-7122141,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122141,uniprotkb:Q99963,IntAct
EBI-7122420,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122420,uniprotkb:Q99963,IntAct
EBI-7122234,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122234,uniprotkb:Q99963,IntAct
EBI-7122482,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122482,uniprotkb:Q99963,IntAct
EBI-7122528,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122528,uniprotkb:Q99963,IntAct
EBI-7122560,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122560,uniprotkb:Q99963,IntAct
EBI-7122210,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122210,uniprotkb:Q99963,IntAct
EBI-7122631,Q99963,MI:0084,-2,9606,MI:0407,MI:0471,0.44,intact:EBI-7122631,uniprotkb:Q99963,IntAct
P49418,O43426,MI:0081,9606,9606,MI:0407,MI:0471,0.56,uniprotkb:P49418,uniprotkb:O43426,IntAct
P49418,O43426,MI:0081,9606,9606,MI:0407,MI:0471,0.56,uniprotkb:P49418,uniprotkb:O43426,IntAct
P49418,O43426,MI:0081,9606,9606,MI:0407,MI:0471,0.56,uniprotkb:P49418,uniprotkb:O43426,IntAct
O43426,Q99961,MI:0081,9606,9606,MI:0407,MI:0471,0.44,uniprotkb:O43426,uniprotkb:Q99961,IntAct
Q99961,O43426,MI:0081,9606,9606,MI:0407,MI:0471,0.44,uniprotkb:Q99961,uniprotkb:O43426,IntAct
Q99961,O43426,MI:0081,9606,9606,MI:0407,MI:0471,0.44,uniprotkb:Q99961,uniprotkb:O43426,IntAct
P49418,Q05193,MI:0081,9606,9606,MI:0407,MI:0471,0.77,uniprotkb:P49418,uniprotkb:Q05193,IntAct
Q05193,Q99961,MI:0081,9606,9606,MI:0407,MI:0471,0.44,uniprotkb:Q05193,uniprotkb:Q99961,IntAct
P49418,Q05193,MI:0081,9606,9606,MI:0407,MI:0471,0.77,uniprotkb:P49418,uniprotkb:Q05193,IntAct
P49418,Q05193,MI:0081,9606,9606,MI:0407,MI:0471,0.77,uniprotkb:P49418,uniprotkb:Q05193,IntAct
Q05193,Q99961,MI:0081,9606,9606,MI:0407,MI:0471,0.44,uniprotkb:Q05193,uniprotkb:Q99961,IntAct
Q99961,P50570,MI:0081,9606,9606,MI:0914,MI:0471,0.35,uniprotkb:Q99961,uniprotkb:P50570,IntAct
P49418,P50570,MI:0081,9606,9606,MI:0914,MI:0471,0.71,uniprotkb:P49418,uniprotkb:P50570,IntAct
Q9UQ16,P49418,MI:0081,9606,9606,MI:0914,MI:0471,0.35,uniprotkb:Q9UQ16,uniprotkb:P49418,IntAct
Q9UQ16,Q99961,MI:0081,9606,9606,MI:0914,MI:0471,0.35,uniprotkb:Q9UQ16,uniprotkb:Q99961,IntAct
P34709,P34708-1,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34709,uniprotkb:P34708-1,IntAct
P34708-1,P34709,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34708-1,uniprotkb:P34709,IntAct
P34709,P34708-1,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34709,uniprotkb:P34708-1,IntAct
P34708-1,P34709,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34708-1,uniprotkb:P34709,IntAct
P34709,P34708-1,MI:0007,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34709,uniprotkb:P34708-1,IntAct
P34708,P34709,MI:0047,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34708,uniprotkb:P34709,IntAct
P34709,P34708,MI:0047,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34709,uniprotkb:P34708,IntAct
P34709,P34708,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34709,uniprotkb:P34708,IntAct
P34709,P34708,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34709,uniprotkb:P34708,IntAct
P34691,P34709,MI:0018,6239,6239,MI:0915,MI:0471,0.72,uniprotkb:P34691,uniprotkb:P34709,IntAct
P34708,P34709,MI:0018,6239,6239,MI:0915,MI:0471,0.51,uniprotkb:P34708,uniprotkb:P34709,IntAct
Q14192,Q13643,MI:0055,9606,9606,MI:2364,MI:0471,0.45,uniprotkb:Q14192,uniprotkb:Q13643,IntAct
Q14192,Q13643,MI:0018,9606,9606,MI:0915,MI:0471,0.45,uniprotkb:Q14192,uniprotkb:Q13643,IntAct
P42566,P42566,MI:0019,9606,9606,MI:0915,MI:0471,0.64,uniprotkb:P42566,uniprotkb:P42566,IntAct
P42566,P42566,MI:0030,9606,9606,MI:0915,MI:0471,0.64,uniprotkb:P42566,uniprotkb:P42566,IntAct
P42566,P42566,MI:0030,9606,9606,MI:0915,MI:0471,0.64,uniprotkb:P42566,uniprotkb:P42566,IntAct
Q14192,P33993,MI:0018,9606,9606,MI:0915,MI:0471,0.37,uniprotkb:Q14192,uniprotkb:P33993,IntAct
