node,betweenness_centrality
O14944,9.403775146741493e-06
O94916,1.944750490699528e-05
PZP,4.289145663347657e-05
Q6PI47,6.965936916792283e-06
P54108,2.7772829974496063e-05
Q9UPU7,8.513707531492267e-05
Q6ZN11,1.0327717818173094e-06
Q5FYB1,1.1635523875349023e-05
Q9NY26,2.4507193576747535e-05
Q92499,9.201564457591042e-05
Q96FB5,4.003897897720139e-06
Q9BS16,6.222112029622015e-06
Q8NH92,1.8456138096545968e-07
O76054,2.5001463956773092e-05
Q7Z7A1,7.20514153014361e-05
Q96NJ6,1.5579740309856364e-05
Q969S8,0.0001300077170610974
Q16769,2.2538989236922012e-05
P26358,0.00030809101326120195
Q8IY51,2.721213479297335e-06
Q8N0U7,3.3397541940106805e-06
Q9P260,6.368403988007653e-05
Q8NDV7,5.302728444242091e-05
Q6IE38,4.066244905223843e-06
Q8N9I5,2.962883208313238e-06
Q8TBZ9,3.4944747193765835e-09
O75052,5.302585604657408e-05
Q96FF7,1.6455653345006416e-08
P55157,3.389215227295855e-05
Q9ULC4,9.452356523771274e-05
Q6UWX4,1.464916499472693e-05
Q96KW2,7.010810290222074e-06
Q8IY95,5.866111024559279e-06
Q9H488,4.502555634555338e-05
Q9H3D4,0.00019010574668601216
Q6DD88,1.0314709657040312e-05
Q68DC2,3.18961759727955e-05
Q14123,4.6712278659540303e-05
Q5SSQ6,7.511158186610726e-08
P14210,4.3547023074576214e-05
P03897,8.336090815149869e-06
P53350,0.0003728899943528457
O14929,6.585059597499397e-05
Q9Y5S2,8.813906849260696e-05
Q13255,7.782353101797218e-05
Q9Y6W6,7.903992989566409e-05
Q6GMV2,3.216314583171485e-05
Q86SX6,7.823191422908159e-05
Q3SY52,8.807374421002423e-06
Q96L94,2.254185753286083e-07
Q5JSQ8,3.7155395036883664e-06
O95825,1.0628300537558084e-05
P32004,5.938143053823003e-05
O95274,3.7663657400486595e-05
Q96A37,1.020510826504835e-06
Q38SD2,0.0003904862745400501
Q9BRJ9,3.746876199540205e-06
P55347,6.099853125656788e-05
Q9BSM1,2.0461329776851666e-05
Q8ND25,5.559981473415071e-06
Q03518,1.670791542976547e-05
P38935,5.9747610097961974e-05
Q9Y2Y0,8.48130651401046e-06
P23284,0.00013720026113225197
LOC388210,5.345473522333915e-06
Q6IPX1,2.3921786010401575e-05
Q02153,8.356068235399928e-05
Q8WXD2,2.4593637832412195e-05
Q6ZS17,7.711472580881716e-06
Q96IW2,1.8542828171593197e-07
Q6P2I7,2.2847603760132495e-08
Q9Y2W1,5.161404636058627e-05
Q9NYA1,0.00011211426675325671
Q2M2W7,5.030575582492613e-06
Q96CS3,4.1654855958986766e-05
Q13363,0.00037965139424436643
Q9UGM3,2.985148218914209e-05
Q9BX26,1.9300592407570405e-05
Q9BY21,1.4149487069268068e-05
Q5VU36,2.1844364992057186e-07
P21964,0.00017066940975701272
Q14566,0.00019671292314002605
Q8N0Y5,4.80821723251097e-08
P38606,9.402284958995731e-05
Q8IUB9,1.6485356286992028e-05
Q15434,2.036158341452381e-05
D6RF30,8.85406163032506e-07
Q96T66,2.376506792493311e-05
O00501,4.793302523572387e-05
PRNT,3.41806119605009e-07
Q07954,5.781333802729551e-05
Q6NSJ2,2.342736438606416e-05
Q9ULM2,2.665622582721637e-05
