,node,betweenness_centrality
0,NEDD8-MDP1,0.0
1,Q8WVP7,1.5540010296758638e-05
2,P01730,0.0016167535807014
3,Q96A49,0.0
4,Q9P2P5,0.0
5,Q96AQ7,4.848604240211872e-06
6,Q96A61,0.0
7,O95801,2.1613883214281365e-05
8,Q9NPA8,2.067016423483355e-05
9,Q8WTT2,1.2295103113800628e-05
10,O95793,1.2880348054280656e-06
11,Q9BRB3,4.312656170061592e-07
12,Q9NQ90,0.0
13,P54257,1.7565694181376212e-05
14,O75387,0.0
15,Q7Z3B3,2.085910903103276e-06
16,B2RU33,0.0
17,Q96NR8,2.2493596310221853e-06
18,Q86W26,0.0
19,Q6UWJ1,0.0
20,P12319,6.711180077646693e-05
21,P49715,0.0001788489679518
22,Q01201,1.3794535287097935e-05
23,Q68DV7,7.489024529621007e-06
24,B3KU38,0.0
25,Q9Y5Q0,0.0
26,P15924,6.4228551332915984e-06
27,P78352,0.0056715610126941
28,O95155,2.779771604283092e-05
29,Q8IUK8,0.0
30,Q9GZX7,0.0
31,P08134,0.000129685675774
32,Q9BRK4,0.0
33,Q9BQG0,0.0001824446659006
34,O75360,3.779878063600397e-05
35,Q9H173,9.466517097292416e-07
36,Q9UBW5,5.497521318892048e-06
37,O95620,0.0
38,Q9H0F7,0.0
39,P37088,9.851198704955664e-05
40,Q9NY26,1.799316851078283e-07
41,O15021,0.0
42,P11908,2.02932145709814e-05
43,Q9Y5H7,0.0
44,Q5R3I4,0.0
45,Q9H920,0.0
46,Q9HC96,0.0
47,Q6ZNW5,0.0
48,Q8N9W5,1.5564435527131664e-06
49,P56211,1.1932561992404242e-07
50,Q9H4B8,0.0
51,Q5XG92,3.416424400781549e-08
52,Q6N075,0.0
53,Q15004,0.0001212783906833
54,O75437,0.0
55,P51161,4.285729172252255e-05
56,ENSP00000417556,0.0
57,Q9BRT3,0.0
58,Q9UJH8,0.0
59,Q9UID3,1.160425956551838e-05
60,Q8NCR6,0.0
61,P17544,0.0
62,Q9UKY1,5.037807183252797e-08
63,Q9BQ66,0.0
64,P31415,4.570880283712797e-07
65,ENSP00000398526,0.0
66,Q7Z6L1,0.0
67,Q3MIR4,3.580412772019064e-05
68,P04035,0.0001484547892728
69,Q01658,6.567949776889522e-06
70,Q08334,6.725533052105621e-05
71,Q8NCT1,0.0
72,Q8NGA5,0.0
73,Q8NGC7,0.0
74,Q9UPW5,0.0
75,O15056,3.985393469696912e-05
76,P28324,1.289551605972861e-06
77,Q6ZNE5,8.456333007465688e-06
78,P03891,0.0006821811786466
79,P51814,0.0
80,Q8NE79,7.212680198706399e-05
81,Q32M88,0.0
82,Q8IV16,0.0001156646489149
83,ENSP00000454699,0.0
84,Q8WXU2,0.0001689042619511
85,O94941,0.0
86,P35212,0.0
87,Q9UM47,0.0017089206585174
88,A1L4L8,0.0
89,Q9H0J4,0.0
90,P11912,0.0001953618245907
91,Q13950,0.0008453133236751
92,Q9Y2C9,5.953819089636312e-07
93,Q8TAD8,0.0004287435924496
94,Q9BYN8,1.400982597565102e-06
95,P62273,3.691474606741624e-05
96,Q92685,9.403591579792745e-05
97,Q86YR5,5.154101944504561e-06
98,Q6S5H5,0.0
99,Q9NU63,0.0
100,Q6PJE2,0.0
101,Q9UPE1,0.0
102,Q9NXT0,0.0
103,Q9Y606,3.683622829751213e-06
104,Q9BX82,0.0
105,Q9NWV8,1.989253334828043e-05
106,O43157,0.0003848254186796
107,Q9HC10,2.504683627564356e-05
108,P13646,0.0
109,O94760,0.0
110,Q13410,5.106080106410609e-06
111,Q8TED9,0.0
112,Q06732,0.0
113,Q01974,2.1844325905836372e-05
114,Q9BSY4,0.0
115,P61923,2.666784280909413e-06
116,P08686,6.968883582405167e-07
117,O00712,9.619165891638281e-08
118,P32245,4.9610479095239976e-05
