,degree_centrality,betweenness_centrality,closeness_centrality,layer
Q9UDY6,0.024063054598601107,5.17860266734712e-05,0.002878105083735912,string
O94851,0.045150850819500994,3.8975162421965504e-05,0.0030848805909032577,string
Q04725,0.0372168284789644,3.7116142497449104e-05,0.0029860353981887087,string
Q9H1X1,0.018112537843198665,1.9875373915892507e-05,0.0027423225917825654,string
Q6UWH4,0.010700490656644744,2.056347257980277e-05,0.002701642773105582,string
Q9Y2F9,0.019991648397536275,5.058998175563286e-05,0.0028367063703884456,string
Q8IUR5,0.051466750182691305,0.00018961440442814197,0.0031036354720359333,string
ENSP00000455561,0.008977972648501932,3.9335883221023095e-07,0.0026286567492662385,string
Q9Y6H5,0.03742561854055747,4.0008626389098855e-05,0.0030950189226206497,string
Q9ULM3,0.053763440860215055,3.850519849611811e-05,0.0029986246521130537,string
O15393,0.040453074433656956,0.00011336145463787693,0.0030145245703893375,string
Q9ULZ1,0.0139367366113373,2.3458240326562104e-06,0.0027485565702237698,string
P16455,0.0649337091554442,0.0003849663669066438,0.003088220288533721,string
P06733,0.12433448167867209,0.00036456495248188823,0.0032052955135901317,string
P26641,0.13466958972752896,0.00037492110189277374,0.0031854006957401956,string
Q8N4T8,0.03445036016285625,5.015155666225834e-05,0.002943628997649614,string
Q5SXH7,0.007307652155757386,2.5622340445567785e-06,0.002532531422332729,string
Q06432,0.020252635974527613,2.2171206947171393e-05,0.0027872838865660716,string
Q96MB7,0.007203257124960852,7.452069391853872e-07,0.002504652590252407,string
P07711,0.06127988307756551,0.0001479623522246604,0.0031142140185796236,string
Q53RD9,0.01680759995824199,1.8481969995816408e-05,0.002861561542094589,string
Q9BYD5,0.014719699342311305,3.7805384226995375e-05,0.0026944670178840713,string
P07996,0.0840901973066082,0.00017761199967639168,0.003121447577423973,string
Q5VT97,0.018321327904791733,2.6607473768936694e-06,0.002796328661887112,string
Q3LI64,0.007986219855934857,3.60509870533301e-07,0.0022309837977101616,string
A6NGG8,0.010126317987263806,4.484827577607118e-06,0.0024547332479639347,string
Q9Y6Y0,0.02437623969099071,1.8960681057317335e-05,0.0029176972700996036,string
Q5VVB8,0.004071406201064829,6.541470846103769e-06,0.002370150504185868,string
Q9NPC3,0.025994362668336986,4.569642531314187e-05,0.0028522663592170277,string
O75153,0.04019208685666562,4.866200214842027e-05,0.0030566753366602878,string
Q9BQ13,0.007777429794341789,1.0914474075687902e-05,0.002638553315841222,string
Q8TC99,0.00015659254619480113,0.0,0.001632819901618297,string
