node,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient
Q9Y2N7,0.02228833907506,1.953900903093734e-05,0.0029583112517742,0.1243086936922078
Q9UJT2,0.0085603925253157,2.9345810725755718e-06,0.0025670204995841,0.123821636989376
O14983,0.0591919824616348,0.0001188981260632,0.0031168242947652,0.1584048218352425
Q9NQ75,0.0135713540035494,8.195815959538135e-06,0.0027304511144781,0.1138996138996139
Q9C091,0.0120054285416014,2.2697386076908432e-05,0.0027215959877555,0.0766660337953294
Q86UD3,0.0342937676166614,5.075350175841882e-05,0.0029735371029385,0.2013401640865723
Q9NUX5,0.0259421651529387,3.1750629113003614e-05,0.0027418743812785,0.1780765236580775
Q9Y5F7,0.0245328322371855,2.086398530196537e-05,0.0029678853979201,0.4296783559406614
Q15822,0.0258899676375404,3.691471053806978e-05,0.0029238779858604,0.2081867057673509
Q96B18,0.0153982670424887,5.373526698921371e-06,0.0027959548409072,0.1375994465582843
O60282,0.1029335003653826,0.000230103030703,0.0032108937758639,0.1733574970953058
Q5HYW2,0.0082472074329261,1.8042019937524838e-07,0.0025994290428326,0.1684269934693219
Q6UXK5,0.0394613216410898,8.919074451716204e-05,0.0030716158835152,0.1444164126283331
Q9NUG6,0.016233427288861,1.096434696086814e-05,0.0027742994850356,0.1291567264806555
Q14511,0.0372168284789644,3.306767627961181e-05,0.0029939062334446,0.1766432387285878
Q9H4G1,0.0031840484392942,2.572617071501918e-06,0.002295577054007,0.1885245901639344
Q9HB21,0.0172773775968263,1.1214456943419415e-05,0.0027912693500617,0.11128810766273
P05198,0.1017329575112224,9.678079168044026e-05,0.0031186660743404,0.2413278857266876
O43615,0.0578348470612798,0.0001489815359848,0.0030406328731806,0.1796754489807232
Q15784,0.0324146570623238,3.154848191263026e-05,0.0029661939356367,0.2786816269284712
Q8TAA5,0.0443678880885269,3.446792832895744e-05,0.0029225804502891,0.258321901198642
P57105,0.0238020670216097,4.574888155722926e-05,0.002976950774492,0.1337863890495469
O15535,0.0056373316630128,9.698245259127576e-06,0.0026753934188505,0.2135687088958117
Q15057,0.0435849253575529,4.668627518988922e-05,0.0030661488239307,0.1765878315311822
P35321,0.0176949577200125,3.7839786596535664e-05,0.0027806306246157,0.1551028957427868
Q9NXB0,0.0173817726276229,1.8222866644545183e-05,0.0027042813694803,0.2455407214443359
Q9UBV7,0.0203570310053241,2.45928245206217e-05,0.0027651230204068,0.1377496539450267
Q6B0B8,0.0059505167554024,3.151047349283671e-07,0.0026271784476471,0.1505977332712312
O95628,0.0426453700803841,3.455633434683406e-05,0.0029566215559903,0.223657210742314
Q9BWW7,0.059818352646414,0.0001331823338025,0.0030362933574782,0.2886744857754711
Q5JT82,0.0194696732435536,5.256108221393709e-06,0.0029425999478693,0.2951944420421459
Q96SJ8,0.0106482931412464,6.800361438985806e-07,0.0027292635518662,0.1039795228436202
Q96T91,0.011535650903017,1.3126400089086392e-05,0.002704295493476,0.1020567667626491
Q8TAV3,0.0128927863033719,8.635113655831816e-06,0.0027696409875639,0.2454494585431684
P17097,0.0081428124021296,7.327443676770488e-07,0.0027342705229424,0.2289495450785773
O95926,0.03674705084038,5.561650278602812e-05,0.0028698255919595,0.2347972972972972
Q6PJQ5,0.0259943626683369,6.311747425094869e-05,0.0029542443708136,0.211501943387231
Q9P2H5,0.0281866583150642,6.957021599122019e-05,0.0029289157737203,0.1705146705146705
ENSP00000482816,0.0212443887670946,3.6355302695079e-05,0.002914097108278,0.1379673448638965
Q96M34,0.0067856770017747,1.5027245738140454e-06,0.0025756854646801,0.2300536672629695
Q5MNV8,0.0177471552354107,3.969525402415705e-05,0.0027701507937758,0.1262883914627798
O60930,0.0420189998956049,4.092519513414388e-05,0.0030313478200261,0.1861963474552702
Q15063,0.0653512892786303,9.617854633785544e-05,0.00307018099132,0.2247505509969021
Q8N474,0.059244179977033,8.622388021085386e-05,0.0031113898012091,0.242801979659542
